Extraction_Date,ord_week_nmb,Site_Name,TCIN,Product_ID,,Product_Name,Regular_price,Regular_Price_Range,Shipping,disc_perc,markdown_price,final_price,Product_Description,availability,additional_information,price_promo,Unique_Key
22-07-2013,34,Amazon,10638014,B004NIH7QU,0,Rockland Luggage Dots 4 Piece Luggage Set,99,n/a,0,0,99,99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $140.99 (59%),34 B004NIH7QU
22-07-2013,34,Amazon,12733063,B004RD5DQC,0,Wildkin Big Dots Aqua Sidekick Backpack,21.32,n/a,5.69,0,21.32,21.32,n/a,Yes,& FREE Shipping on orders over $25.,You Save: $8.67 (29%),34 B004RD5DQC
22-07-2013,34,Amazon,13990444,B004ZRGECM,0,"Sumdex MSB Slim Laptop Backpack (15"" MacBook Pro)",48.85,n/a,0,0,48.85,48.85,n/a,Yes,& FREE Shipping.,You Save: $89.10 (65%),34 B004ZRGECM
22-07-2013,34,Amazon,14337779,B00503FUWA,0,Rockland 2 Piece Set,39.15,n/a,0,0,39.15,39.15,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $40.84 (51%),34 B00503FUWA
22-07-2013,34,Amazon,13726132,B00503FUZW,0,Rockland 2 Piece Set,30.47,n/a,0,0,30.47,30.47,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $49.52 (62%),34 B00503FUZW
22-07-2013,34,Amazon,14236722,B0058NL12U,0,Taylor Scales 8122-4 Digital Talking Luggage Scale,17.47,n/a,5.64,0,17.47,17.47,"The newest generation of luggage scales. The taylor 8122-4 talking luggage scale features bigger capacity, 88 pounds! The soft grip two hand handle makes lifting heavy bags easier. Has a large back-lighted LCD readout with an even easier talking feature that tells you the weight. The no hassle luggage scale folds up for easy storage and packing, total weight is less than one pound. Don't pay for overweight luggage ever with the taylor 8122-4 digital luggage scale.",Yes,($8.40 / oz) & FREE Shipping on orders over $25.,You Save: $7.52 (30%),34 B0058NL12U
22-07-2013,34,Amazon,13726147,B005ES6RZU,0,Rockland 2 Piece Set,39.75,n/a,0,0,39.75,39.75,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $40.24 (50%),34 B005ES6RZU
22-07-2013,34,Amazon,14337776,B005ES6S04,0,Rockland 2 Piece Set,39.75,n/a,0,0,39.75,39.75,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $40.24 (50%),34 B005ES6S04
22-07-2013,34,Amazon,13726136,B005ES6S0E,0,Rockland 2 Piece Set,40.77,n/a,0,0,40.77,40.77,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $39.22 (49%),34 B005ES6S0E
22-07-2013,34,Amazon,13726137,B005ES6S0O,0,Rockland 2 Piece Set,39.45,n/a,0,0,39.45,39.45,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $40.54 (51%),34 B005ES6S0O
22-07-2013,34,Amazon,13726140,B005ES6S0Y,0,Rockland 2 Piece Set,39.45,n/a,0,0,39.45,39.45,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $40.54 (51%),34 B005ES6S0Y
22-07-2013,34,Amazon,14337773,B005ES6S1I,0,Rockland 2 Piece Set,39.99,n/a,0,0,39.99,39.99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $40.00 (50%),34 B005ES6S1I
22-07-2013,34,Amazon,13726134,B005ES6S1S,0,Rockland 2 Piece Set,39.75,n/a,0,0,39.75,39.75,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $40.24 (50%),34 B005ES6S1S
22-07-2013,34,Amazon,13726144,B005ES6S22,0,Rockland 2 Piece Set,39.75,n/a,0,0,39.75,39.75,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $40.24 (50%),34 B005ES6S22
