week_nmb,Unique_Pdt_Identifier_Mainpdt,Amz_rating1,Amz_rating2,Amz_rating3,Amz_rating4,Amz_rating5,Amz_Review_count,Amz_Avg_rating
6,B00061W8F8,0,0,0,0,2,2,5
7,B00061W8F8,0,0,0,1,0,1,4
10,B00061W8F8,0,1,0,0,0,1,2
11,B00061W8F8,0,0,0,1,1,2,4.5
12,B00061W8F8,0,0,0,0,1,1,5
13,B00061W8F8,0,1,0,0,0,1,2
14,B00061W8F8,0,0,0,0,1,1,5
17,B00061W8F8,0,1,0,0,0,1,2
24,B00061W8F8,0,0,0,1,0,1,4
27,B00061W8F8,0,0,0,0,1,1,5
29,B00061W8F8,0,0,0,1,0,1,4
31,B00061W8F8,0,0,0,1,0,1,4
32,B00061W8F8,0,0,0,1,0,1,4
34,B00061W8F8,0,0,0,0,1,1,5
35,B00061W8F8,0,0,0,0,1,1,5
36,B00061W8F8,0,0,0,0,1,1,5
37,B00061W8F8,0,0,0,0,3,3,5
38,B00061W8F8,0,0,0,0,1,1,5
43,B00061W8F8,0,0,0,0,1,1,5
47,B00061W8F8,0,0,0,1,1,2,4.5
49,B00061W8F8,0,0,0,0,1,1,5
51,B00061W8F8,0,0,0,1,0,1,4
-306,B00061W8OO,0,0,0,0,1,1,5
-222,B00061W8OO,0,0,0,0,1,1,5
-202,B00061W8OO,0,0,0,1,0,1,4
-160,B00061W8OO,0,0,0,1,0,1,4
-145,B00061W8OO,0,0,0,1,0,1,4
-143,B00061W8OO,0,0,1,0,0,1,3
-106,B00061W8OO,0,1,0,0,0,1,2
-89,B00061W8OO,0,0,1,0,0,1,3
-80,B00061W8OO,0,0,0,1,0,1,4
-46,B00061W8OO,0,0,0,0,1,1,5
-42,B00061W8OO,0,0,0,1,0,1,4
-13,B00061W8OO,0,0,0,1,0,1,4
-8,B00061W8OO,0,0,0,0,1,1,5
-4,B00061W8OO,0,0,0,0,1,1,5
2,B00061W8OO,0,0,0,0,1,1,5
28,B00061W8OO,0,0,0,1,0,1,4
29,B00061W8OO,0,0,0,0,1,1,5
33,B00061W8OO,0,0,0,0,1,1,5
40,B00061W8OO,0,0,0,1,0,1,4
41,B00061W8OO,0,0,0,0,1,1,5
-159,B00061W8RQ,0,0,0,0,1,1,5
-151,B00061W8RQ,0,1,0,0,0,1,2
-102,B00061W8RQ,1,0,0,0,0,1,1
-101,B00061W8RQ,0,0,0,0,1,1,5
-99,B00061W8RQ,1,0,0,0,0,1,1
-82,B00061W8RQ,0,0,0,1,0,1,4
-16,B00061W8RQ,0,1,0,0,0,1,2
0,B00061W8RQ,0,0,0,0,1,1,5
3,B00061W8RQ,0,0,0,0,1,1,5
-306,B0007XVK7M,0,0,0,1,0,1,4
-46,B0007XVK7M,0,0,0,1,0,1,4
0,B0007XVK7M,0,0,0,1,0,1,4
4,B0007XVK7M,0,0,0,0,1,1,5
11,B0007XVK7M,0,0,0,1,0,1,4
17,B0007XVK7M,0,0,0,0,1,1,5
36,B0007XVK7M,0,0,1,0,0,1,3
37,B0007XVK7M,0,0,0,1,1,2,4.5
38,B0007XVK7M,0,1,1,0,0,2,2.5
41,B0007XVK7M,0,0,0,1,0,1,4
49,B0007XVK7M,0,0,0,0,1,1,5
51,B0007XVK7M,0,0,2,0,0,2,3
-348,B0007YX26S,0,0,0,0,1,1,5
-278,B0007YX26S,0,0,0,1,0,1,4
-104,B0007YX26S,0,0,0,1,0,1,4
-96,B0007YX26S,0,1,0,0,0,1,2
