Extraction_Date,ord_week_nmb,Site_Name,TCIN,amazon_product_ID,amazon_product_name,amazon_Regular_price,Regular_Price_Range,amazon_Shipping,amazon_disc_perc,amazon_markdown_price,amazon_final_price,amazon_Product_Description,amazon_availability,amazon_additional_info,amazon_price_promo
03-12-2012,1,Amazon,11457894,B001I3N9GA,Leatherbay Leather Mini Backpack,98.97,n/a,0,0,98.97,98.97,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $45.98 (32%)
03-12-2012,1,Amazon,11457902,B001I3JIQA,Leatherbay Leather Mini Backpack,98.97,n/a,0,0,98.97,98.97,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $45.98 (32%)
03-12-2012,1,Amazon,11457905,B002ONBRHG,Leatherbay Urban Hipster Messenger Bag,70.92,n/a,0,0,70.92,70.92,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $29.03 (29%)
03-12-2012,1,Amazon,11457908,B002ONBRIA,Leatherbay Downtown Messenger Bag,70.92,n/a,0,0,70.92,70.92,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $29.03 (29%)
03-12-2012,1,Amazon,11457912,B002ONBRFI,Leatherbay World Traveller Cabin Bag,210.87,n/a,0,0,210.87,210.87,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $119.08 (36%)
03-12-2012,1,Amazon,11458033,B002L1L46A,Leatherbay Flip Top Wallet,21.36,n/a,4.98,0,21.36,21.36,n/a,Yes,& eligible for FREE Super Saver Shipping and Free Returns.,You Save: $8.59 (29%)
03-12-2012,1,Amazon,11458126,B001I3R858,Leatherbay Leather Mini Backpack,103.69,n/a,0,0,103.69,103.69,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $41.26 (28%)
03-12-2012,1,Amazon,11458127,B002L1QWK8,Leatherbay Leatherbay Mini Globe Trotter Duffel Bag,119.99,n/a,0,0,119.99,119.99,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $79.96 (40%)
03-12-2012,1,Amazon,11458128,B001I3N9BK,Leatherbay Ladies Zip Leather Wallet,58.17,n/a,0,0,58.17,58.17,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $21.78 (27%)
03-12-2012,1,Amazon,11458134,B001I3P6Y8,Leatherbay London Leather Tote,101.92,n/a,0,0,101.92,101.92,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $48.03 (32%)
03-12-2012,1,Amazon,11458136,B002ONBRDU,Leatherbay Leather Backpack with Single Pocket,170.17,n/a,0,0,170.17,170.17,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $89.78 (35%)
03-12-2012,1,Amazon,11458137,B001I3P6XO,Leatherbay Oxford Tote,96.48,n/a,0,0,96.48,96.48,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $33.47 (26%)
