net_Sales,amazon_Shipping,kohl_final_price,kohl_Shipping,Target_Shipping,TCIN_var,kohl_pdt_desc_length,Availability,Price_diff_amazon_final_pr,Price_diff_target_final_pr,Price_rat_amazon_final_pr,Price_rat_amazon_reg_pr,Price_rat_target_reg_pr,Recency_week,Amz_No_of_images,Amz_Not_User_Gen_images,Amz_pdt_desc_length,Amz_rating5,Amz_Review_count,Amz_Total_negative_sent_score,Amz_Total_Positive_sent_score,Amz_User_Generated_images,kohls_Number_of_images,Neg_tot_wt_score,pos_avg_wt_score,reviews_1_M,reviews_3_M,reviews_6_M,Target_pdt_desc_length,Total_sentiment_score
0.693147181,0,4.288539792,0,0,0,2.944438979,0.693147181,5.559450104,4.069026754,0.57655233,0.311985401,0.048813985,2.079441542,1.791759469,1.791759469,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,NA,3.793239469,0,0,0,4.584967479,0.693147181,NA,4.290459441,NA,NA,0.184582209,2.833213344,NA,NA,2,NA,NA,NA,NA,NA,0.693147181,NA,NA,NA,NA,NA,5.940171253,NA
0.693147181,0,3.793239469,0,0,0,3.135494216,0.693147181,5.588820456,4.248495242,0.860512022,0.683780585,0.13982719,0.693147181,1.609437912,1.609437912,3,NA,NA,NA,NA,0,1.098612289,NA,NA,NA,NA,NA,0,NA
0.693147181,1.919859472,3.793239469,0,0,0,3.135494216,0.693147181,5.613420035,4.600157644,1.059055653,0.927414593,0.75028591,3.044522438,1.098612289,1.098612289,3,NA,NA,NA,NA,0,1.791759469,NA,NA,NA,NA,NA,0,NA
0.693147181,0,5.151266424,0,0,0,3.218875825,0.693147181,5.75552067,4.29374172,0.779046177,0.580329843,0.185711668,2.833213344,1.791759469,1.791759469,3,NA,NA,NA,NA,0,2.079441542,NA,NA,NA,NA,NA,5.424950017,NA
0.693147181,0,5.17840707,0,0,0,4.477336814,0.693147181,5.737217251,4.290322445,0.729006533,0.51560793,0.184530769,2.079441542,1.609437912,1.609437912,534,2.302585093,2.708050201,4.521788577,3.988984047,0,0,1.791759469,0,1.098612289,1.098612289,1.386294361,0,3.970291914
0.693147181,0,5.00327494,0,0,0,2.944438979,0.693147181,5.707774496,4.085808231,0.739294858,0.528993632,0.11461934,2.772588722,1.098612289,1.098612289,3,NA,NA,NA,NA,0,1.386294361,NA,NA,NA,NA,NA,5.347107531,NA
0.693147181,0,5.00327494,0,0,0,1.609437912,0.693147181,5.73434401,4.310664888,0.803445489,0.611552763,0.192694684,2.833213344,1.098612289,1.098612289,3,NA,NA,NA,NA,0,1.386294361,NA,NA,NA,NA,NA,5.187385806,NA
0.693147181,0,5.00327494,0,0,0.693147181,2.564949357,0.693147181,5.73434401,4.310664888,0.803445489,0.611552763,0.192694684,2.833213344,1.098612289,1.098612289,3,NA,NA,NA,NA,0,1.386294361,NA,NA,NA,NA,NA,5.556828062,NA
0.693147181,0,5.123368564,0,0,0.693147181,3.044522438,0.693147181,5.760509314,4.297149343,0.804661533,0.613103014,0.186956663,2.833213344,0,0,54,NA,NA,NA,NA,0,3.17805383,NA,NA,NA,NA,NA,5.393627546,NA
0.693147181,0,5.230573714,0,0,0,4.644390899,0.693147181,5.748437115,4.283448621,0.729244786,0.515918246,0.182342421,3.610917913,3.258096538,3.258096538,3,NA,NA,NA,NA,0,2.890371758,NA,NA,NA,NA,NA,5.446737372,NA
0.693147181,0,3.109060959,0,0,0,3.044522438,0.693147181,5.511248953,4.356580613,0.546127121,0.219457703,0.274907097,2.833213344,0.693147181,0.693147181,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,1.788420568,2.856470206,0,0,0,3.091042453,0.693147181,5.523897946,4.356580613,0.678878732,0.399120742,0.299863851,2.833213344,0.693147181,0.693147181,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,0,3.621670704,0,0,0,3.401197382,0.693147181,5.522340531,4.356580613,0.545963983,0.21923153,0.231876449,2.833213344,0.693147181,0.693147181,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,1.788420568,2.517696473,0,0,0,3.295836866,0.693147181,5.505290885,4.356580613,0.559401479,0.237813696,0.336168646,2.833213344,0,0,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,0,2.856470206,0,0,0,3.496507561,0.693147181,5.505290885,4.356580613,0.530466473,0.197680378,0.299863851,2.833213344,0,0,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,0,3.310543013,0,0,0,4.17438727,0.693147181,5.516970853,4.356580613,0.557059045,0.234581302,0.256691641,2.833213344,0.693147181,0.693147181,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,1.788420568,2.517696473,0,0,0,3.465735903,0.693147181,5.505290885,4.356580613,0.559401479,0.237813696,0.336168646,2.833213344,0,0,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,1.788420568,2.341805806,0,0,0,2.944438979,0.693147181,5.505290885,4.356580613,0.575121928,0.259433105,0.355782628,2.833213344,1.098612289,1.098612289,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,1.788420568,2.517696473,0,0,0,3.135494216,0.693147181,5.505290885,4.356580613,0.559401479,0.237813696,0.336168646,2.833213344,1.098612289,1.098612289,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,0,3.478158423,0,0,0,3.526360525,0.693147181,5.534890338,4.356580613,0.631145784,0.335479599,0.242808944,2.833213344,1.098612289,1.098612289,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,0,3.109060959,0,0,0,3.496507561,0.693147181,5.524536184,4.356580613,0.635261657,0.341007514,0.274907097,2.833213344,0,0,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA
0.693147181,1.788420568,2.517696473,0,0,0,2.708050201,0.693147181,5.505290885,4.290459441,0.559401479,0.237813696,0.13982719,2.833213344,0,0,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,0,3.310543013,0,0,0.693147181,2.890371758,0.693147181,5.524296893,4.356580613,0.599275258,0.292405819,0.256691641,2.833213344,0.693147181,0.693147181,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA
0.693147181,0,3.015534901,0,0,1.098612289,2.890371758,0.693147181,5.505290885,4.356580613,0.517804784,0.179974751,0.283891891,2.833213344,0.693147181,0.693147181,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,0,3.858622229,0,0,0.693147181,2.079441542,0.693147181,5.522580291,4.356580613,0.520653005,0.183965396,0.215758195,2.833213344,2.079441542,2.079441542,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,0,3.478158423,0,0,0.693147181,2.890371758,0.693147181,5.524137333,4.356580613,0.573184774,0.256775916,0.242808944,2.833213344,1.945910149,1.945910149,3,NA,NA,NA,NA,0,0.693147181,NA,NA,NA,NA,NA,0,NA
0.693147181,0,3.747148362,0,0,0.693147181,2.708050201,0.693147181,5.519659296,4.356580613,0.52131058,0.184886079,0.223043576,2.833213344,1.945910149,1.945910149,3,NA,NA,NA,NA,0,0.693147181,NA,NA,NA,NA,NA,0,NA
0.693147181,0,3.552486829,0,0,0,4.691347882,0.693147181,5.564597033,4.290459441,0.801517185,0.60910028,0.184583745,2.833213344,2.564949357,2.564949357,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,0,3.793239469,0,0,0,3.465735903,0.693147181,5.581991418,4.580877493,0.815196069,0.626519919,0.694241525,2.833213344,1.791759469,1.791759469,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,0,3.310543013,0,0,0,2.890371758,0.693147181,5.543300684,4.471638793,0.72764882,1.150423399,1.190330695,2.833213344,2.772588722,2.772588722,3,3.63758616,4.564348191,4.094344562,5.204006687,0,NA,1.791759469,0,3.044522438,3.258096538,3.931825633,6.429719478,5.003946306
0.693147181,0,3.310543013,0,0,0,3.526360525,0.693147181,5.545138381,4.477223172,0.741806384,1.168938047,1.208863337,2.833213344,2.772588722,2.772588722,3,3.63758616,4.564348191,4.094344562,5.204006687,0,NA,1.791759469,0,3.044522438,3.258096538,3.931825633,6.423246964,5.003946306
0.693147181,NA,4.180522258,0,0,0,3.496507561,0.693147181,NA,4.795790546,NA,NA,1.423367426,2.833213344,NA,NA,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,6.070737728,NA
0.693147181,0,3.858622229,0,0,0.693147181,2.079441542,0.693147181,5.56773363,4.53249196,0.70923538,0.723744353,0.765386461,3.465735903,3.465735903,3.465735903,3,NA,NA,NA,NA,0,1.791759469,NA,NA,NA,NA,NA,6.212606096,NA
0.693147181,0,3.858622229,0,0,0.693147181,2.079441542,0.693147181,5.568382671,4.53249196,0.712518026,0.72805613,0.765386461,2.833213344,3.465735903,3.465735903,3,NA,NA,NA,NA,0,1.386294361,NA,NA,NA,NA,NA,6.340359304,NA
0.693147181,0,3.858622229,0,0,0,3.17805383,0.693147181,5.565477803,4.53249196,0.697979065,0.708925184,0.765386461,3.465735903,3.465735903,3.465735903,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6.226536669,NA
0.693147181,0,3.858622229,0,0,0.693147181,2.079441542,0.693147181,5.565477803,4.53249196,0.697979065,0.708925184,0.765386461,2.833213344,3.465735903,3.465735903,3,5.010635294,5.59471138,0,6.50578406,0,1.386294361,1.791759469,0,3.295836866,4.043051268,4.65396035,5.564520407,6.357842267
0.693147181,0,3.858622229,0,0,0,3.17805383,0.693147181,5.565477803,4.53249196,0.697979065,0.708925184,0.765386461,2.833213344,3.465735903,3.465735903,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,5.379897354,NA
0.693147181,0,3.858622229,0,0,0.693147181,2.833213344,0.693147181,5.568382671,4.532599493,0.712518026,0.72805613,0.76561904,3.465735903,3.465735903,3.465735903,3,NA,NA,NA,NA,0,0.693147181,NA,NA,NA,NA,NA,6.216606101,NA
0.693147181,0,3.858622229,0,0,0.693147181,2.079441542,0.693147181,5.564520407,4.53249196,0.693272188,0.70271274,0.765386461,3.465735903,3.465735903,3.465735903,3,NA,NA,NA,NA,0,0.693147181,NA,NA,NA,NA,NA,6.22059017,NA
0.693147181,0,3.858622229,0,0,0,2.079441542,0.693147181,5.565439525,4.53249196,0.697790081,0.70867593,0.765386461,3.465735903,3.465735903,3.465735903,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6.230481448,NA
0.693147181,0,3.858622229,0,0,0.693147181,2.079441542,0.693147181,5.565439525,4.53249196,0.697790081,0.70867593,0.765386461,3.465735903,3.465735903,3.465735903,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6.226536669,NA
0.693147181,0,3.858622229,0,0,0.693147181,2.079441542,0.693147181,5.564520407,4.53249196,0.693272188,0.70271274,0.765386461,3.465735903,3.465735903,3.465735903,3,NA,NA,NA,NA,0,0.693147181,NA,NA,NA,NA,NA,6.216606101,NA
0.693147181,0,5.046002438,0,0,0.693147181,2.397895273,0.693147181,5.759627063,4.948688966,0.84624551,0.968648852,0.93608357,2.833213344,3.465735903,2.890371758,3,4.672828834,5.293304825,3.828641396,6.359573869,2.708050201,0.693147181,1.791759469,0,2.48490665,3.465735903,4.356708827,0,6.274762021
0.693147181,0,5.046002438,0,0,1.609437912,2.397895273,0.693147181,5.74767176,4.94875989,0.814758515,0.928680845,0.93617769,2.833213344,3.465735903,2.890371758,3,4.672828834,5.293304825,3.828641396,6.359573869,2.708050201,1.791759469,1.791759469,0,2.48490665,3.465735903,4.356708827,6.298949247,6.274762021
