"Product_ID","Staples_Final_Price","Amz_Final_Price","Google_Visits","Google_Revenue","Google_Order","Google_Unique_Visitors","Google_Aggr_Search_Vol","Google_Bounce_rate","Google_Cart_Views","Google_Shipping","Google_Visit_Freq","Google_OCPVisit","Google_OCPVisitor","SC_Visits","SC_Revenue","SC_Order","SC_Unique_Visitors","SC_Aggr_Search_Vol","SC_Bounce_rate","SC_Cart_Views","SC_Shipping","SC_Visit_Freq","SC_OCPVisit","SC_OCPVisitor","Direct_Visits","Direct_Revenue","Direct_Order","Direct_Unique_Visitors","Direct_Aggr_Search_Vol","Direct_Bounce_rate","Direct_Cart_Views","Direct_Shipping","Direct_Visit_Freq","Direct_OCPVisit","Direct_OCPVisitor","OA_Visits","OA_Revenue","OA_Orders","OA_Uniq_Visitor","OA_Aggr_Search_Vol","OA_Bounce_rate","OA_Cart_Views","OA_Shipping","OA_Visit_Freq","OA_OCPVisit","OA_OCPVisitor","Conversion","Conversion_Visitor","Price_Comp"
"739213",48.45,44.89,6043,170334.18,2981,5721,0,59.41,7971,0,417.69,9.42,9.9,16,48.49,1,16,0,0,22,0,13,1,1,21194,217353.67,11827,20089,0,193.74,30634,0,417.27,10.71,11.29,27253,387736.34,14809,25826,0,253.15,38627,0,847.95,10.41,11,0.54,0.57,1.08
"739229",11.98,8.48,2295,19930.92,1088,2188,0,69.67,2940,0,408.25,9.19,9.6,9,0,0,9,0,1,11,0,8,0,0,7243,25400.59,3931,6906,0,72.52,9706,0,416.45,10.34,10.82,9547,45331.51,5019,9103,0,143.19,12657,0,832.69,10.03,10.52,0.53,0.55,1.41
"739318",7.08,7.45,22563,71059.81,8231,20986,0,96.95,20346,0,426.86,7.01,7.52,29,161.63,9,28,0,0,36,0,26,2.15,2.32,57723,98037.06,26387,53326,0,177.46,55878,0,429.03,8.84,9.54,80315,169258.5,34627,74340,0,274.41,76260,0,881.91,8.32,8.98,0.43,0.47,0.95
"741186",22.36,13.97,7771,43760.45,1692,7418,0,174.96,3856,0,413.83,4.14,4.35,14,0,0,14,0,2,7,0,14,0,0,16508,54993.18,5392,15559,0,214.15,12421,0,419.06,6.23,6.62,24293,98753.63,7084,22991,0,391.08,16284,0,846.89,5.57,5.9,0.29,0.31,1.6
"743478",13.28,12.24,13447,43582.12,2098,13085,0,174.19,7293,0,408.33,3.13,3.18,78,190.15,11,73,0,7,72,0,66.5,2.58,2.61,27878,58047.63,7323,26778,0,201.85,26086,0,413.17,5.1,5.32,41403,101819.9,9432,39936,0,383.05,33451,0,888,4.47,4.63,0.23,0.24,1.09
"752370",14.29,10.2,1479,5350.01,299,1409,0,64.83,705,0,400.06,3.84,4,5,13.99,1,5,0,0,3,0,5,0.5,0.5,3229,7722.52,1028,3045,0,93.52,2099,0,415.41,6.15,6.51,4713,13086.52,1328,4459,0,158.35,2807,0,820.47,5.39,5.68,0.28,0.3,1.4
"754639",122.99,105.8,7049,362840.02,2766,6655,0,159.99,7210,0,417.33,7.45,7.86,9,122.99,1,9,0,0,4,0,9,0.5,0.5,23085,479477.96,11916,21776,0,152.63,30011,0,418.58,9.79,10.34,30143,842440.97,14683,28440,0,312.63,37225,0,844.95,9.23,9.77,0.49,0.52,1.16
"757288",47.99,39.13,9433,115630.88,2006,9161,0,202.7,6031,0,408.89,4.22,4.3,29,191.96,4,29,0,2,44,0,27,1.25,1.25,18522,107894.96,6769,17724,0,206.95,21843,0,414.3,7.03,7.34,27984,223717.8,8779,26914,0,411.67,27918,0,850.18,6.06,6.29,0.31,0.33,1.23
"757289",22.11,19.59,20780,222814.13,6193,19974,0,206.65,18740,0,413.06,5.68,5.92,164,586.83,17,151,0,16.5,253,0,115,1.34,1.41,48122,259495.56,21633,45359,0,204.57,68717,0,420.43,8.63,9.16,69066,482896.52,27843,65484,0,427.73,87710,0,948.54,7.73,8.13,0.4,0.43,1.13
"760047",269.02,250.39,2703,226883.21,788,2577,0,119.55,2185,0,409.63,5.5,5.75,5,269.99,1,5,0,0,0,0,5,0.5,0.5,7535,322044.06,3554,7076,0,86.62,9149,0,420.17,8.99,9.57,10243,549197.26,4343,9658,0,206.19,11334,0,834.8,8.09,8.56,0.42,0.45,1.07
