Product,Product_ID,Category,Reviews_Q1,Reviews_Q2,Reviews_Q3,Reviews_Q4,Sales_Units
37843786 - Easton S500 Realtree Xtra Youth Baseball Bat (-13) 2015,37843786,Baseball Bat,14,16,19,8,20
37843806 - Easton Mako Youth Fastpitch Softball Bat (-11) 2015,37843806,Baseball Bat,0,0,0,1,12
38226326 - RAWLINGS 5150 Senior League Baseball Bat (-10) 2015,38226326,Baseball Bat,0,0,2,1,5
38226346 - RAWLINGS Velo Balanced Adult BBCOR Baseball Bat (-3) 2015,38226346,Baseball Bat,0,0,0,1,5
38936536 - DEMARINI CF7 Adult BBCOR Baseball Bat (-3) 2015,38936536,Baseball Bat,0,0,4,3,1
38936566 - DEMARINI CF7 Youth Baseball Bat (-11) 2015,38936566,Baseball Bat,0,1,5,0,4
38936576 - DEMARINI Voodoo Overlord FT Adult BBCOR Baseball Bat (-3) 2015,38936576,Baseball Bat,0,0,2,1,4
38936616 - DEMARINI Voodoo Overlord FT Youth Baseball Bat (-13) 2015,38936616,Baseball Bat,0,2,1,2,6
38936626 - DEMARINI Vexxum NVS Adult BBCOR Baseball Bat (-3) 2015,38936626,Baseball Bat,0,1,0,2,2
40936636 - DEMARINI Vexxum NVS Big Barrel Baseball Bat (-10) 2015,40936636,Baseball Bat,0,0,0,1,5
40936646 - DeMarini NVS Vexxum Junior Big Barrel Baseball Bat (-10.5) 2015,40936646,Baseball Bat,0,0,0,1,1
40936656 - DEMARINI Vexxum NVS Youth Baseball Bat (-12) 2015,40936656,Baseball Bat,0,0,1,1,1
41820356 - DeMarini Voodoo Overlord FT Senior League Baseball Bat (-5) 2015,41820356,Baseball Bat,2,0,1,1,11
42948046 - Worth Sick 454 Balanced Adult Fastpitch Softball Bat (-12) 2015,42948046,Baseball Bat,0,0,0,1,2
43415406 - Rawlings Prodigy Youth Baseball Bat (-10) 2015,43415406,Baseball Bat,0,0,0,1,1
43941796 - Easton S400 Junior Big Barrel Baseball Bat (-11) 2015,43941796,Baseball Bat,20,12,8,10,3
43942986 - DeMarini Ultimate Weapon Adult Slowpitch Softball Bat 2015,43942986,Baseball Bat,0,0,1,2,20
45165356 - Louisville Slugger C271 MLB Prime Maple Adult Wood Baseball Bat 2015,45165356,Baseball Bat,0,0,1,0,5
45165376 - Louisville Slugger Pro Stock Lite C271 Adult Ash Wood Baseball Bat 2015,45165376,Baseball Bat,5,1,1,0,3
45596376 - Louisville Slugger Mendoza Adult Fastpitch Softball Bat (-13) 2015,45596376,Baseball Bat,0,0,0,1,21
46588166 - Pinnacle Sports 18 in BamBooBat,46588166,Baseball Bat,1,1,1,0,8
13012524 - Nike Mens Air Max MVP Elite 3/4 Metal Baseball Cleats,13012524,Cleats,3,0,0,0,43
13305132 - adidas Kids Goletto IV TRX FG Soccer Cleats,13305132,Cleats,7,15,0,2,56
15302106 - Nike Mens Lunar Saddle Golf Shoes,15302106,Cleats,1,2,0,1,80
16557586 - NIKE Mens Alpha Strike Mid Football Cleats,16557586,Cleats,2,16,8,8,27
16557686 - NIKE Mens Alpha Strike Low Football Cleats,16557686,Cleats,0,2,1,0,54
16557726 - Nike Mens Lunar Code Pro Mid Football Cleats,16557726,Cleats,0,2,1,1,44
18097066 - NIKE Kids Jr. Chaser FG-R Low Soccer Cleats,18097066,Cleats,14,8,2,2,874
18336326 - adidas Boys Predito LZ TRX FG Low Soccer Cleats,18336326,Cleats,2,0,0,1,4
18393656 - FOOTJOY Mens Contour Series Golf Shoes,18393656,Cleats,0,0,0,2,9
18469806 - Nike Boys Jr. Hypervenom Phade FG-R Low Soccer Cleats,18469806,Cleats,0,0,0,1,136
