Content-Length,RequestTime,ResponseTime,TimeDifference(C_B),RequestTimewithoutGMT,ResponseTimeTruncwithoutGMT,TimeDifference(F-E)
255157,2016-01-12 12:35:06.526000+05:30,2016-01-12 12:35:06.715000+05:30,,2016-01-12 12:35:06.526000,2016-01-12 12:35:06.715000,
0,2016-01-12 12:35:06.528000+05:30,2016-01-12 12:35:06.695000+05:30,,2016-01-12 12:35:06.528000,2016-01-12 12:35:06.695000,
2097152,2016-01-12 12:35:07.689000+05:30,2016-01-12 12:35:08.793000+05:30,,2016-01-12 12:35:07.689000,2016-01-12 12:35:08.793000,
2097152,2016-01-12 12:35:11.085000+05:30,2016-01-12 12:35:12.625000+05:30,,2016-01-12 12:35:11.085000,2016-01-12 12:35:12.625000,
639679,2016-01-12 12:35:15.499000+05:30,2016-01-12 12:35:15.878000+05:30,,2016-01-12 12:35:15.499000,2016-01-12 12:35:15.878000,
0,2016-01-12 12:35:17.760000+05:30,2016-01-12 12:35:17.858000+05:30,,2016-01-12 12:35:17.760000,2016-01-12 12:35:17.858000,
0,2016-01-12 12:35:28.397000+05:30,2016-01-12 12:35:28.522000+05:30,,2016-01-12 12:35:28.397000,2016-01-12 12:35:28.522000,
0,2016-01-12 12:35:36.494000+05:30,2016-01-12 12:35:36.594000+05:30,,2016-01-12 12:35:36.494000,2016-01-12 12:35:36.594000,
0,2016-01-12 12:35:36.715000+05:30,2016-01-12 12:35:36.842000+05:30,,2016-01-12 12:35:36.715000,2016-01-12 12:35:36.842000,
46552,2016-01-12 12:35:41.827000+05:30,2016-01-12 12:35:41.946000+05:30,,2016-01-12 12:35:41.827000,2016-01-12 12:35:41.946000,
3794,2016-01-12 12:35:49.551000+05:30,2016-01-12 12:35:49.587000+05:30,,2016-01-12 12:35:49.551000,2016-01-12 12:35:49.587000,
0,2016-01-12 12:35:49.553000+05:30,2016-01-12 12:35:49.669000+05:30,,2016-01-12 12:35:49.553000,2016-01-12 12:35:49.669000,
14474,2016-01-12 12:35:55.494000+05:30,2016-01-12 12:35:55.554000+05:30,,2016-01-12 12:35:55.494000,2016-01-12 12:35:55.554000,
17538,2016-01-12 12:35:55.495000+05:30,2016-01-12 12:35:55.603000+05:30,,2016-01-12 12:35:55.495000,2016-01-12 12:35:55.603000,
21859,2016-01-12 12:35:55.497000+05:30,2016-01-12 12:35:55.651000+05:30,,2016-01-12 12:35:55.497000,2016-01-12 12:35:55.651000,
19966,2016-01-12 12:35:55.498000+05:30,2016-01-12 12:35:55.692000+05:30,,2016-01-12 12:35:55.498000,2016-01-12 12:35:55.692000,
16580,2016-01-12 12:35:55.499000+05:30,2016-01-12 12:35:55.762000+05:30,,2016-01-12 12:35:55.499000,2016-01-12 12:35:55.762000,
13870,2016-01-12 12:35:55.500000+05:30,2016-01-12 12:35:55.765000+05:30,,2016-01-12 12:35:55.500000,2016-01-12 12:35:55.765000,
16825,2016-01-12 12:35:55.501000+05:30,2016-01-12 12:35:55.809000+05:30,,2016-01-12 12:35:55.501000,2016-01-12 12:35:55.809000,
19676,2016-01-12 12:35:55.503000+05:30,2016-01-12 12:35:55.869000+05:30,,2016-01-12 12:35:55.503000,2016-01-12 12:35:55.869000,
12089,2016-01-12 12:35:55.504000+05:30,2016-01-12 12:35:55.900000+05:30,,2016-01-12 12:35:55.504000,2016-01-12 12:35:55.900000,
4831,2016-01-12 12:35:55.506000+05:30,2016-01-12 12:35:55.914000+05:30,,2016-01-12 12:35:55.506000,2016-01-12 12:35:55.914000,
14701,2016-01-12 12:35:55.509000+05:30,2016-01-12 12:35:55.947000+05:30,,2016-01-12 12:35:55.509000,2016-01-12 12:35:55.947000,
19318,2016-01-12 12:35:55.510000+05:30,2016-01-12 12:35:56.029000+05:30,,2016-01-12 12:35:55.510000,2016-01-12 12:35:56.029000,
0,2016-01-12 12:35:55.990000+05:30,2016-01-12 12:35:56.112000+05:30,,2016-01-12 12:35:55.990000,2016-01-12 12:35:56.112000,
0,2016-01-12 12:35:57.742000+05:30,2016-01-12 12:35:57.841000+05:30,,2016-01-12 12:35:57.742000,2016-01-12 12:35:57.841000,
0,2016-01-12 12:36:05.487000+05:30,2016-01-12 12:36:05.589000+05:30,,2016-01-12 12:36:05.487000,2016-01-12 12:36:05.589000,
0,2016-01-12 12:36:05.489000+05:30,2016-01-12 12:36:05.590000+05:30,,2016-01-12 12:36:05.489000,2016-01-12 12:36:05.590000,
27254,2016-01-12 12:36:05.490000+05:30,2016-01-12 12:36:05.609000+05:30,,2016-01-12 12:36:05.490000,2016-01-12 12:36:05.609000,
15736,2016-01-12 12:36:05.504000+05:30,2016-01-12 12:36:05.714000+05:30,,2016-01-12 12:36:05.504000,2016-01-12 12:36:05.714000,
2623,2016-01-12 12:36:05.535000+05:30,2016-01-12 12:36:05.661000+05:30,,2016-01-12 12:36:05.535000,2016-01-12 12:36:05.661000,
