Final_sales_Rank,List_Price,Discount,Discount_pct,Final_Price_after_Discount,avg_Regular_price,min_Regular_price,max_Regular_price,avg_Disc_per,min_Disc_per,max_Disc_per,avg_final_price,min_final_price,max_final_price,avg_shipping_price,min_shipping_price,max_shipping_price,avg_amz_mkt_Regular_price,min_amz_mkt_Regular_price,max_amz_mkt_Regular_price,Avg_amz_mkt_disc_perc,min_amz_mkt_disc_perc,max_amz_mkt_disc_perc,avg_amz_mkt_final_price,min_amz_mkt_final_price,max_amz_mkt_final_price,avg_amz_mkt_shipping_price,min_amz_mkt_shipping_price,max_amz_mkt_shipping_price,Reviews_Count,Total_Average_Ratings,Number_of_images,Not_User_Generated_images,User_Generated_images,Avg_helpful_votes,Actual_avg_score,Avg_sentiment_score,Total_sentiment_score,Avg_Positive_sentiment_score,Total_Positive_sentiment_score,Avg_negative_sentiment_score,Total_negative_sentiment_score,Avg_Weighted_score,Total_weighted_score,Total_sub,pdt_desc_length,Saving_Dollar
21346,249.99,54.5,22,195.49,249.99,249.99,249.99,0.22,0.22,0.22,195.49,195.49,195.49,0,0,0,240.99,240.99,240.99,0,0,0,240.99,240.99,240.99,0,0,0,35,4.4,35,29,6,0.885714286,0.815789474,3.2,112,3.485714286,122,-0.285714286,-10,2.610526316,91.36842105,33,2738,0
29324,249.99,45,18,204.99,249.99,249.99,249.99,0.18,0.18,0.18,204.99,204.99,204.99,0,0,0,219.97,219.97,219.97,0,0,0,219.97,219.97,219.97,0,0,0,35,4.4,35,29,6,0.885714286,0.815789474,3.2,112,3.485714286,122,-0.285714286,-10,2.610526316,91.36842105,33,2738,0
26303,74.99,3.71,5,71.28,74.99,74.99,74.99,0.05,0.05,0.05,71.28,71.28,71.28,0,0,0,69.9,69.9,69.9,0,0,0,69.9,69.9,69.9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,705,0
93613,74.99,3.71,5,71.28,74.99,74.99,74.99,0.05,0.05,0.05,71.28,71.28,71.28,0,0,0,69.9,69.9,69.9,0,0,0,69.9,69.9,69.9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,705,0
30040,379.99,80.09,21,299.9,379.99,379.99,379.99,0.21,0.21,0.21,299.9,299.9,299.9,0,0,0,479.99,479.99,479.99,0,0,0,479.99,479.99,479.99,0,0,0,4,2.8,1,1,0,3.75,0.6,-4.25,-17,0.25,1,-4.5,-18,-2.55,-10.2,28,1503,0
122398,399.99,0,0,399.9,399.99,399.99,399.99,0,0,0,399.9,399.9,399.9,0,0,0,399.9,399.9,399.9,0,0,0,399.9,399.9,399.9,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,17,3313,0
34831,499.99,0,0,499.99,499.99,499.99,499.99,0,0,0,499.99,499.99,499.99,4.99,4.99,4.99,599,599,599,0,0,0,599,599,599,0,0,0,2,4.5,5,5,0,0,0,6,12,6,12,0,0,0,0,31,463,0
44091,499,0,0,499,499,499,499,0,0,0,499,499,499,4.99,4.99,4.99,589,589,589,0,0,0,589,589,589,0,0,0,2,4.5,4,4,0,0,0,5.5,11,5.5,11,0,0,0,0,28,626,0
79623,199.99,20.09,10,179.9,199.99,199.99,199.99,0.1,0.1,0.1,179.9,179.9,179.9,0,0,0,179.9,179.9,179.9,0,0,0,179.9,179.9,179.9,0,0,0,1,4,2,2,0,0,0,8,8,8,8,0,0,0,0,14,749,0
14176,279.99,20.99,7,259,279.99,279.99,279.99,0.07,0.07,0.07,259,259,259,0,0,0,258.98,258.98,258.98,0,0,0,258.98,258.98,258.98,0,0,0,7,3.7,11,11,0,0.714285714,0.833333333,3,21,3.571428571,25,-0.571428571,-4,2.5,17.5,37,1223,0
